id,nome,sobrenome,email,dataAdmissao,cargo
80275,Anna Liz,Fonseca,annafonseca@nomeEmpresa.com,2003-11-26,Promotor de Vendas
80276,Luna Albuquerque,Souza,lunasouza@nomeEmpresa.com,2005-10-10,Telemarketing
80277,Lara Silveira,Montenegro,laramontenegro@nomeEmpresa.com,2021-04-27,Vendedor Interno
80278,Cecília Cavalcanti,Leão,cecilialeao@nomeEmpresa.com,2019-06-01,Vendedor Externo
80279,Alice das,Santos,alicesantos@nomeEmpresa.com,2021-03-30,Vendedor Externo
80280,da Costa,Andrade,daandrade@nomeEmpresa.com,2019-11-18,Telemarketing
80281,da Luz,Mata,damata@nomeEmpresa.com,2018-05-21,Vendedor Interno
80282,Flor da,Mendonça,flormendonca@nomeEmpresa.com,2017-11-17,Promotor de Vendas
80283,Hugo da,Sá,hugosa@nomeEmpresa.com,2005-03-31,Vendedor Interno
80284,Luísa Lima,Camargo,luisacamargo@nomeEmpresa.com,2009-12-21,Vendedor Externo
80285,Emanuel Gonçalves,Novaes,emanuelnovaes@nomeEmpresa.com,2018-10-12,Vendedor Interno
80286,Elisa Duarte,Mendes,duartemendes@nomeEmpresa.com,2005-06-25,Promotor de Vendas
80287,Otávio Pereira,Ramos,pereiraramos@nomeEmpresa.com,2010-11-12,Promotor de Vendas
80288,Pedro Porto,Jesus,portojesus@nomeEmpresa.com,2013-01-28,Telemarketing
80289,Luiz Garcia,Silva,luizsilva@nomeEmpresa.com,2024-08-12,Vendedor Interno
80290,Fernanda Siqueira,Santos,siqueirasantos@nomeEmpresa.com,2024-07-05,Promotor de Vendas
80291,Cecília Silva,Aragão,ceciliaaragao@nomeEmpresa.com,2006-05-08,Vendedor Interno
80292,Heloísa Mendonça,Aragão,mendoncaaragao@nomeEmpresa.com,2022-04-20,Telemarketing
80293,Agatha Novaes,Carvalho,novaescarvalho@nomeEmpresa.com,2015-10-30,Promotor de Vendas
80294,Giovanna Moura,Garcia,mouragarcia@nomeEmpresa.com,2018-10-23,Telemarketing
80295,Manuela Melo,Cardoso,melocardoso@nomeEmpresa.com,2019-02-25,Telemarketing
80296,Gabriel Siqueira,Duarte,gabrielduarte@nomeEmpresa.com,2012-01-15,Promotor de Vendas
80297,José Sousa,Cunha,josecunha@nomeEmpresa.com,2009-07-07,Promotor de Vendas
80298,Gabriel Rodrigues,Monteiro,gabrielmonteiro@nomeEmpresa.com,2004-06-20,Vendedor Interno
80299,Aurora Caldeira,Gonçalves,caldeiragoncalves@nomeEmpresa.com,2023-02-06,Telemarketing
80300,Alícia Garcia,Gomes,garciagomes@nomeEmpresa.com,2011-01-20,Vendedor Externo
80301,Luiz Sousa,Machado,luizmachado@nomeEmpresa.com,2007-04-08,Vendedor Interno
80302,Sarah Correia,Garcia,correiagarcia@nomeEmpresa.com,2017-08-04,Vendedor Interno
80303,Caio Aparecida,Pimenta,aparecidapimenta@nomeEmpresa.com,2006-11-06,Vendedor Interno
80304,Miguel Rocha,Vargas,miguelvargas@nomeEmpresa.com,2004-05-06,Telemarketing
80305,Valentim Mendonça,Moreira,mendoncamoreira@nomeEmpresa.com,2023-12-29,Vendedor Interno
80306,Anthony Camargo,Silveira,camargosilveira@nomeEmpresa.com,2010-07-10,Vendedor Interno
80307,Lorena Leão,Camargo,leaocamargo@nomeEmpresa.com,2006-09-26,Promotor de Vendas
80308,Stephany da,Pastor,stephanypastor@nomeEmpresa.com,2004-10-23,Promotor de Vendas
80309,Sarah Camargo,Paz,camargopaz@nomeEmpresa.com,2023-06-08,Vendedor Interno
80310,Liz Araújo,Costa,lizcosta@nomeEmpresa.com,2008-07-29,Vendedor Interno
80311,Paulo Silveira,Marques,silveiramarques@nomeEmpresa.com,2005-03-05,Telemarketing
80312,Hadassa Aparecida,Sales,aparecidasales@nomeEmpresa.com,2008-02-29,Vendedor Interno
80313,Henry Gonçalves,Mendonça,goncalvesmendonca@nomeEmpresa.com,2013-03-28,Vendedor Interno
80314,Isaque Siqueira,Correia,siqueiracorreia@nomeEmpresa.com,2022-10-03,Vendedor Externo
80315,Maysa Campos,Grande,camposgrande@nomeEmpresa.com,2008-02-29,Promotor de Vendas
80316,Alana Silva,Brito,silvabrito@nomeEmpresa.com,2012-04-11,Vendedor Externo
80317,Vinícius Ribeiro,Cavalcanti,ribeirocavalcanti@nomeEmpresa.com,2008-11-04,Vendedor Interno
80318,Maria Marques,Paz,marquespaz@nomeEmpresa.com,2019-11-21,Promotor de Vendas
80319,Brayan Siqueira,Machado,siqueiramachado@nomeEmpresa.com,2012-11-24,Vendedor Interno
80320,Isabela Oliveira,Silveira,oliveirasilveira@nomeEmpresa.com,2009-10-30,Telemarketing
80321,Mateus Peixoto,Vieira,peixotovieira@nomeEmpresa.com,2006-04-11,Telemarketing
80322,Esther Siqueira,Borges,estherborges@nomeEmpresa.com,2014-04-05,Vendedor Externo
80323,Miguel Marques,Borges,miguelborges@nomeEmpresa.com,2020-05-31,Vendedor Externo
80324,Guilherme Fogaça,Sousa,guilhermesousa@nomeEmpresa.com,2009-07-31,Vendedor Externo
80325,Pedro Novais,Cassiano,pedrocassiano@nomeEmpresa.com,2013-12-18,Vendedor Externo
80326,Lucas Pinto,Mata,pintomata@nomeEmpresa.com,2006-11-11,Vendedor Interno
80327,Francisco Abreu,Martins,abreumartins@nomeEmpresa.com,2013-06-23,Vendedor Interno
80328,Luiz Fernando,Ramos,luizramos@nomeEmpresa.com,2022-06-20,Vendedor Externo
80329,Matteo Lopes,Mendonça,lopesmendonca@nomeEmpresa.com,2009-03-25,Vendedor Externo
80330,Emanuel Silveira,Pimenta,silveirapimenta@nomeEmpresa.com,2019-07-12,Vendedor Interno
80331,Gabriel Monteiro,Rosa,gabrielrosa@nomeEmpresa.com,2023-01-17,Vendedor Interno
80332,Melissa Peixoto,Pinto,peixotopinto@nomeEmpresa.com,2007-12-27,Vendedor Externo
80333,Diego Ribeiro,Melo,ribeiromelo@nomeEmpresa.com,2022-03-15,Vendedor Interno
80334,Hadassa Pereira,Conceição,hadassaconceicao@nomeEmpresa.com,2008-04-11,Telemarketing
80335,Miguel Peixoto,Rios,miguelrios@nomeEmpresa.com,2016-01-11,Vendedor Interno
80336,Ana Pires,Cruz,pirescruz@nomeEmpresa.com,2015-07-21,Telemarketing
80337,Manuela Brito,Silva,britosilva@nomeEmpresa.com,2024-04-28,Vendedor Interno
80338,Agatha Peixoto,Conceição,agathaconceicao@nomeEmpresa.com,2024-08-24,Telemarketing
80339,Kamilly Correia,Peixoto,correiapeixoto@nomeEmpresa.com,2005-10-04,Vendedor Interno
80340,da Rosa,Ramos,daramos@nomeEmpresa.com,2004-07-11,Vendedor Interno
80341,Antonella Pires,Rodrigues,antonellarodrigues@nomeEmpresa.com,2016-08-10,Telemarketing
80342,Hugo Castro,Vieira,hugovieira@nomeEmpresa.com,2007-04-12,Telemarketing
80343,Matheus Porto,Cruz,matheuscruz@nomeEmpresa.com,2009-01-10,Telemarketing
80344,Lara Brito,Viana,britoviana@nomeEmpresa.com,2006-06-27,Promotor de Vendas
80345,Lucas Brito,Rosa,britorosa@nomeEmpresa.com,2013-10-27,Vendedor Interno
80346,Beatriz Sales,Melo,beatrizmelo@nomeEmpresa.com,2008-07-28,Vendedor Externo
80347,Pietra Brito,Cassiano,pietracassiano@nomeEmpresa.com,2011-04-05,Vendedor Externo
80348,Alice Teixeira,Cunha,teixeiracunha@nomeEmpresa.com,2024-05-06,Vendedor Interno
80349,Lucca Nunes,Pires,luccapires@nomeEmpresa.com,2010-08-31,Vendedor Interno
80350,Miguel Correia,Vargas,miguelvargas@nomeEmpresa.com,2007-04-23,Telemarketing
80351,Thomas Costela,Mendes,costelamendes@nomeEmpresa.com,2013-10-07,Vendedor Interno
80352,Henrique Ramos,Araújo,henriquearaujo@nomeEmpresa.com,2007-08-13,Vendedor Interno
80353,Clara Silva,Pacheco,clarapacheco@nomeEmpresa.com,2003-12-02,Vendedor Interno
80354,Emanuelly Viana,Alves,vianaalves@nomeEmpresa.com,2020-09-13,Vendedor Externo
80355,Pedro Oliveira,Caldeira,oliveiracaldeira@nomeEmpresa.com,2023-07-08,Vendedor Externo
80356,Eduarda Castro,Sousa,eduardasousa@nomeEmpresa.com,2016-03-29,Telemarketing
80357,Noah Cavalcanti,Silva,noahsilva@nomeEmpresa.com,2018-07-08,Telemarketing
80358,Marcela Cunha,Garcia,cunhagarcia@nomeEmpresa.com,2021-12-20,Telemarketing
80359,da Rocha,Sales,dasales@nomeEmpresa.com,2014-09-15,Promotor de Vendas
80360,Henrique Peixoto,Pires,henriquepires@nomeEmpresa.com,2015-08-27,Vendedor Interno
80361,Gabriela Leão,Rocha,leaorocha@nomeEmpresa.com,2021-02-23,Telemarketing
80362,da Cunha,Ferreira,daferreira@nomeEmpresa.com,2007-09-21,Vendedor Externo
80363,Rodrigo Gonçalves,Barros,rodrigobarros@nomeEmpresa.com,2006-05-24,Vendedor Interno
80364,Pedro Duarte,Rezende,duarterezende@nomeEmpresa.com,2006-06-08,Consultor de Vendas
80365,Leandro Pinto,Garcia,pintogarcia@nomeEmpresa.com,2017-11-04,Vendedor Interno
80366,Noah Cavalcante,Caldeira,cavalcantecaldeira@nomeEmpresa.com,2018-10-09,Promotor de Vendas
80367,Heloisa Barbosa,Gonçalves,barbosagoncalves@nomeEmpresa.com,2008-06-21,Vendedor Externo
80368,da Mata,Campos,dacampos@nomeEmpresa.com,2004-11-08,Vendedor Interno
80369,Emanuella Moraes,Cirino,moraescirino@nomeEmpresa.com,2008-11-13,Telemarketing
80370,Gustavo Cirino,Rocha,cirinorocha@nomeEmpresa.com,2013-06-25,Consultor de Vendas
80371,Stephany Nunes,Macedo,nunesmacedo@nomeEmpresa.com,2014-08-13,Promotor de Vendas
80372,Maria da,Jesus,mariajesus@nomeEmpresa.com,2010-06-01,Vendedor Interno
80373,Eduarda Correia,Gomes,eduardagomes@nomeEmpresa.com,2009-02-06,Telemarketing
80374,Cecília Castro,Silva,ceciliasilva@nomeEmpresa.com,2018-07-13,Telemarketing
80375,Mathias Porto,Rocha,portorocha@nomeEmpresa.com,2010-12-18,Vendedor Interno
80376,Lívia Caldeira,Andrade,liviaandrade@nomeEmpresa.com,2017-04-20,Vendedor Interno
80377,Pietra da,Ramos,pietraramos@nomeEmpresa.com,2019-08-24,Vendedor Interno
80378,Hellena Carvalho,Melo,carvalhomelo@nomeEmpresa.com,2014-02-17,Consultor de Vendas
80379,Enzo Duarte,Andrade,duarteandrade@nomeEmpresa.com,2004-09-08,Vendedor Externo
80380,Henrique Teixeira,Jesus,henriquejesus@nomeEmpresa.com,2018-04-03,Vendedor Interno
80381,Matteo Abreu,Luz,matteoluz@nomeEmpresa.com,2019-12-03,Vendedor Externo
80382,Júlia da,Teixeira,juliateixeira@nomeEmpresa.com,2018-09-16,Telemarketing
80383,Amanda Almeida,Santos,almeidasantos@nomeEmpresa.com,2006-03-19,Telemarketing
80384,Natália Fernandes,Porto,fernandesporto@nomeEmpresa.com,2013-10-05,Vendedor Interno
80385,Rebeca Nascimento,Costela,nascimentocostela@nomeEmpresa.com,2016-11-17,Vendedor Interno
80386,Matheus Gonçalves,Fernandes,goncalvesfernandes@nomeEmpresa.com,2019-01-12,Vendedor Interno
80387,da Paz,Mendonça,damendonca@nomeEmpresa.com,2020-03-22,Vendedor Interno
80388,Liz Castro,Pacheco,castropacheco@nomeEmpresa.com,2005-02-06,Vendedor Interno
80389,Dom Cavalcante,Grande,cavalcantegrande@nomeEmpresa.com,2020-03-16,Promotor de Vendas
80390,Nicolas da,Ramos,nicolasramos@nomeEmpresa.com,2010-06-18,Vendedor Interno
80391,Oliver Macedo,Guerra,macedoguerra@nomeEmpresa.com,2014-12-03,Promotor de Vendas
80392,Ravi Caldeira,Barros,caldeirabarros@nomeEmpresa.com,2009-05-12,Vendedor Interno
80393,Ayla Pereira,Pacheco,pereirapacheco@nomeEmpresa.com,2011-12-14,Vendedor Interno
80394,Camila Siqueira,Correia,siqueiracorreia@nomeEmpresa.com,2007-02-16,Telemarketing
80395,Augusto Rezende,Barbosa,rezendebarbosa@nomeEmpresa.com,2024-04-21,Consultor de Vendas
80396,Bruna Monteiro,Montenegro,brunamontenegro@nomeEmpresa.com,2010-07-31,Vendedor Externo
80397,Benício Duarte,Mendonça,duartemendonca@nomeEmpresa.com,2023-10-26,Telemarketing
80398,da Costa,Machado,damachado@nomeEmpresa.com,2020-05-09,Vendedor Interno
80399,Laís Teixeira,Siqueira,teixeirasiqueira@nomeEmpresa.com,2016-02-16,Vendedor Externo
80400,Stella Vargas,Fonseca,vargasfonseca@nomeEmpresa.com,2018-06-05,Vendedor Externo
80401,Pedro Costa,Mendonça,pedromendonca@nomeEmpresa.com,2008-02-19,Vendedor Interno
80402,Eduardo Pastor,Rezende,eduardorezende@nomeEmpresa.com,2019-01-12,Telemarketing
80403,Luana Pacheco,Guerra,pachecoguerra@nomeEmpresa.com,2018-02-22,Consultor de Vendas
80404,Luan Barbosa,Alves,barbosaalves@nomeEmpresa.com,2024-08-22,Vendedor Interno
80405,Sophia Pastor,Rocha,pastorrocha@nomeEmpresa.com,2015-08-18,Telemarketing
80406,Alice Aragão,Pires,alicepires@nomeEmpresa.com,2016-03-22,Telemarketing
80407,Vinícius Gomes,Ferreira,gomesferreira@nomeEmpresa.com,2015-04-25,Vendedor Interno
80408,Gabriel Moraes,Cunha,gabrielcunha@nomeEmpresa.com,2018-03-11,Telemarketing
80409,Felipe Ferreira,Castro,felipecastro@nomeEmpresa.com,2019-07-28,Vendedor Externo
80410,Kaique Mendes,Barbosa,mendesbarbosa@nomeEmpresa.com,2011-03-06,Telemarketing
80411,Laura Pimenta,Cunha,lauracunha@nomeEmpresa.com,2009-11-02,Vendedor Interno
80412,Thomas Pimenta,Nascimento,pimentanascimento@nomeEmpresa.com,2008-04-27,Vendedor Interno
80413,Catarina Porto,Melo,portomelo@nomeEmpresa.com,2010-10-06,Telemarketing
80414,Henrique Guerra,Mendes,guerramendes@nomeEmpresa.com,2010-03-29,Telemarketing
80415,Helena Pastor,Conceição,pastorconceicao@nomeEmpresa.com,2013-06-15,Telemarketing
80416,Ísis Pires,Duarte,piresduarte@nomeEmpresa.com,2013-12-07,Vendedor Interno
80417,Cecilia Câmara,Sousa,camarasousa@nomeEmpresa.com,2023-05-16,Vendedor Interno
80418,Stella Sampaio,Lima,sampaiolima@nomeEmpresa.com,2010-06-24,Promotor de Vendas
80419,Mariah Melo,Rezende,melorezende@nomeEmpresa.com,2022-02-24,Promotor de Vendas
80420,Casa Grande,Martins,casamartins@nomeEmpresa.com,2010-12-01,Vendedor Interno
80421,Letícia Cunha,Ferreira,leticiaferreira@nomeEmpresa.com,2014-09-15,Vendedor Interno
80422,Yago Gonçalves,Cardoso,goncalvescardoso@nomeEmpresa.com,2004-11-24,Promotor de Vendas
80423,Laura Cavalcante,Fernandes,cavalcantefernandes@nomeEmpresa.com,2020-11-27,Vendedor Externo
80424,Liz das,Mendes,lizmendes@nomeEmpresa.com,2006-10-06,Vendedor Externo
80425,Antonella Moura,Nascimento,mouranascimento@nomeEmpresa.com,2013-02-04,Telemarketing
80426,Pedro Costa,Barbosa,costabarbosa@nomeEmpresa.com,2004-08-23,Vendedor Externo
80427,Bento Castro,Machado,castromachado@nomeEmpresa.com,2014-05-22,Telemarketing
80428,Mariana Barbosa,Castro,barbosacastro@nomeEmpresa.com,2014-03-10,Telemarketing
80429,Miguel da,Cavalcanti,miguelcavalcanti@nomeEmpresa.com,2016-11-12,Vendedor Externo
80430,Julia Nascimento,Cunha,nascimentocunha@nomeEmpresa.com,2006-09-04,Telemarketing
80431,Liz Monteiro,Rocha,lizrocha@nomeEmpresa.com,2017-01-06,Vendedor Externo
80432,Manuela Albuquerque,Vieira,albuquerquevieira@nomeEmpresa.com,2018-01-16,Telemarketing
80433,Yago Nascimento,Moura,nascimentomoura@nomeEmpresa.com,2015-06-24,Vendedor Externo
80434,Juliana Vargas,Cavalcante,vargascavalcante@nomeEmpresa.com,2010-06-16,Vendedor Externo
80435,Carlos Eduardo,Duarte,carlosduarte@nomeEmpresa.com,2019-04-30,Vendedor Interno
80436,Leonardo Camargo,Moreira,leonardomoreira@nomeEmpresa.com,2011-08-11,Promotor de Vendas
80437,Beatriz Siqueira,Cruz,siqueiracruz@nomeEmpresa.com,2005-11-30,Vendedor Interno
80438,Ana Carolina,Araújo,anaaraujo@nomeEmpresa.com,2015-03-05,Vendedor Interno
80439,da Luz,Duarte,daduarte@nomeEmpresa.com,2020-05-08,Telemarketing
80440,Lívia Abreu,Silveira,abreusilveira@nomeEmpresa.com,2023-06-09,Vendedor Externo
80441,Julia Sá,Freitas,juliafreitas@nomeEmpresa.com,2024-01-19,Promotor de Vendas
80442,Melissa Cunha,Novaes,cunhanovaes@nomeEmpresa.com,2016-01-09,Vendedor Externo
80443,Rafael Lopes,Mendonça,lopesmendonca@nomeEmpresa.com,2024-02-13,Telemarketing
80444,Felipe Rezende,Cirino,felipecirino@nomeEmpresa.com,2023-12-03,Telemarketing
80445,Otávio Carvalho,Albuquerque,otavioalbuquerque@nomeEmpresa.com,2020-09-14,Telemarketing
80446,Manuela Santos,Monteiro,santosmonteiro@nomeEmpresa.com,2010-09-05,Vendedor Interno
80447,Luiz Santos,Macedo,luizmacedo@nomeEmpresa.com,2011-12-04,Vendedor Interno
80448,Apollo Melo,Garcia,melogarcia@nomeEmpresa.com,2024-07-07,Vendedor Interno
80449,Helena Montenegro,Mota,montenegromota@nomeEmpresa.com,2015-09-01,Vendedor Interno
80450,Henry Rezende,Nunes,rezendenunes@nomeEmpresa.com,2015-10-02,Consultor de Vendas
80451,Dom Novaes,Rezende,novaesrezende@nomeEmpresa.com,2006-03-05,Vendedor Interno
80452,Clara Novais,Cardoso,novaiscardoso@nomeEmpresa.com,2005-01-05,Telemarketing
80453,Gabriel Cassiano,Luz,gabrielluz@nomeEmpresa.com,2023-09-13,Vendedor Interno
80454,Arthur Miguel,Freitas,arthurfreitas@nomeEmpresa.com,2016-07-28,Vendedor Interno
80455,da Paz,Cardoso,dacardoso@nomeEmpresa.com,2016-10-12,Vendedor Interno
80456,Aylla Melo,Borges,meloborges@nomeEmpresa.com,2018-12-14,Vendedor Externo
80457,Maria Fernanda,Silva,mariasilva@nomeEmpresa.com,2014-02-12,Telemarketing
80458,Julia Alves,Mendes,juliamendes@nomeEmpresa.com,2017-04-07,Telemarketing
80459,Francisco Pereira,Vieira,pereiravieira@nomeEmpresa.com,2014-06-11,Telemarketing
80460,da Luz,Silveira,dasilveira@nomeEmpresa.com,2021-12-31,Vendedor Externo
80461,da Rocha,Pereira,dapereira@nomeEmpresa.com,2008-09-24,Vendedor Externo
80462,Yasmin da,Farias,yasminfarias@nomeEmpresa.com,2018-05-18,Telemarketing
80463,Catarina Sá,Caldeira,catarinacaldeira@nomeEmpresa.com,2012-04-23,Vendedor Interno
80464,Joaquim Novaes,Guerra,novaesguerra@nomeEmpresa.com,2013-12-13,Vendedor Interno
80465,Pietro Marques,Araújo,marquesaraujo@nomeEmpresa.com,2010-06-15,Vendedor Externo
80466,Jade Sousa,Santos,sousasantos@nomeEmpresa.com,2010-02-07,Promotor de Vendas
80467,Evelyn Lima,Mata,evelynmata@nomeEmpresa.com,2014-07-09,Vendedor Externo
80468,Liz Vasconcelos,Melo,lizmelo@nomeEmpresa.com,2023-05-23,Vendedor Interno
80469,Pietra Aragão,Ribeiro,aragaoribeiro@nomeEmpresa.com,2020-02-02,Vendedor Interno
80470,Alice Pacheco,Mata,pachecomata@nomeEmpresa.com,2004-06-23,Vendedor Interno
80471,Heitor Rocha,Moura,rochamoura@nomeEmpresa.com,2007-02-02,Vendedor Interno
80472,Matteo Machado,Caldeira,machadocaldeira@nomeEmpresa.com,2010-03-12,Telemarketing
80473,Fernando Pacheco,Nunes,fernandonunes@nomeEmpresa.com,2009-06-12,Vendedor Interno
80474,Fernando Guerra,Moura,fernandomoura@nomeEmpresa.com,2018-07-21,Vendedor Interno
80475,Alexia Pinto,Borges,pintoborges@nomeEmpresa.com,2022-12-21,Vendedor Interno
80476,Luiza da,Fernandes,luizafernandes@nomeEmpresa.com,2014-06-19,Vendedor Interno
80477,Mirella Cassiano,Correia,cassianocorreia@nomeEmpresa.com,2022-09-20,Vendedor Externo
80478,Thomas Silveira,Nunes,thomasnunes@nomeEmpresa.com,2020-10-20,Vendedor Interno
80479,Benicio Pacheco,Souza,pachecosouza@nomeEmpresa.com,2004-12-07,Vendedor Externo
80480,Nicole Sousa,Aragão,sousaaragao@nomeEmpresa.com,2019-12-04,Vendedor Interno
80481,Lucca Costa,Rezende,luccarezende@nomeEmpresa.com,2020-09-01,Vendedor Externo
80482,Joana Sousa,Siqueira,sousasiqueira@nomeEmpresa.com,2023-09-09,Vendedor Interno
80483,Marina Albuquerque,Rezende,marinarezende@nomeEmpresa.com,2024-10-02,Telemarketing
80484,Felipe Câmara,Ramos,feliperamos@nomeEmpresa.com,2020-07-20,Vendedor Externo
80485,Isabela Fogaça,Pereira,fogacapereira@nomeEmpresa.com,2012-12-10,Telemarketing
80486,Henrique Gomes,Fonseca,henriquefonseca@nomeEmpresa.com,2018-03-30,Vendedor Interno
80487,da Costa,Rocha,darocha@nomeEmpresa.com,2023-05-18,Vendedor Interno
80488,Benjamin Almeida,Fonseca,almeidafonseca@nomeEmpresa.com,2020-05-17,Vendedor Interno
80489,Emanuella Rezende,Silveira,rezendesilveira@nomeEmpresa.com,2004-11-26,Vendedor Externo
80490,Sabrina Mendes,Ribeiro,mendesribeiro@nomeEmpresa.com,2021-08-13,Consultor de Vendas
80491,Samuel Moura,Marques,mouramarques@nomeEmpresa.com,2004-10-18,Consultor de Vendas
80492,Cecilia Ramos,Nunes,ramosnunes@nomeEmpresa.com,2021-09-26,Vendedor Interno
80493,Cecília Nascimento,Jesus,ceciliajesus@nomeEmpresa.com,2005-10-15,Promotor de Vendas
80494,Carolina da,Camargo,carolinacamargo@nomeEmpresa.com,2008-11-16,Vendedor Interno
80495,Samuel Castro,Ribeiro,castroribeiro@nomeEmpresa.com,2009-12-20,Vendedor Interno
80496,Marcos Vinicius,Aragão,marcosaragao@nomeEmpresa.com,2015-03-03,Vendedor Externo
80497,Bella Moura,Luz,bellaluz@nomeEmpresa.com,2017-04-03,Promotor de Vendas
80498,Maria Flor,Gonçalves,mariagoncalves@nomeEmpresa.com,2009-09-10,Telemarketing
80499,Arthur Borges,Freitas,borgesfreitas@nomeEmpresa.com,2019-01-30,Vendedor Interno
80500,Apollo Cardoso,Cunha,cardosocunha@nomeEmpresa.com,2014-11-11,Vendedor Externo
80501,Henrique Cavalcanti,Viana,henriqueviana@nomeEmpresa.com,2007-07-22,Vendedor Interno
80502,Ian Sousa,Melo,ianmelo@nomeEmpresa.com,2011-08-12,Vendedor Interno
80503,Cauê Leão,Moreira,cauemoreira@nomeEmpresa.com,2011-05-12,Vendedor Externo
80504,Sabrina Fonseca,Machado,sabrinamachado@nomeEmpresa.com,2004-01-08,Vendedor Interno
80505,Ísis Mendes,Novaes,mendesnovaes@nomeEmpresa.com,2005-02-06,Telemarketing
80506,Melina Duarte,Jesus,duartejesus@nomeEmpresa.com,2023-03-01,Telemarketing
80507,Gustavo Sales,Sá,gustavosa@nomeEmpresa.com,2008-02-10,Vendedor Externo
80508,Beatriz Alves,Rezende,beatrizrezende@nomeEmpresa.com,2022-03-01,Vendedor Interno
80509,Luísa Leão,Barros,leaobarros@nomeEmpresa.com,2013-06-21,Vendedor Interno
80510,Bruna Siqueira,Cruz,brunacruz@nomeEmpresa.com,2018-06-22,Telemarketing
80511,Rodrigo Nogueira,Freitas,nogueirafreitas@nomeEmpresa.com,2015-10-06,Vendedor Interno
80512,Juliana Fonseca,Cruz,fonsecacruz@nomeEmpresa.com,2013-07-28,Vendedor Interno
80513,Gabriel Barbosa,Ramos,gabrielramos@nomeEmpresa.com,2024-05-14,Vendedor Externo
80514,Dom Barbosa,Peixoto,barbosapeixoto@nomeEmpresa.com,2010-03-04,Promotor de Vendas
80515,Benicio Souza,Pacheco,souzapacheco@nomeEmpresa.com,2012-01-08,Vendedor Interno
80516,Kamilly Marques,Brito,kamillybrito@nomeEmpresa.com,2021-10-14,Vendedor Interno
80517,da Rosa,Peixoto,dapeixoto@nomeEmpresa.com,2020-11-25,Vendedor Interno
80518,da Paz,Almeida,daalmeida@nomeEmpresa.com,2022-07-04,Vendedor Externo
80519,Sophia Cirino,Sales,sophiasales@nomeEmpresa.com,2006-11-27,Vendedor Externo
80520,Jade Fonseca,Sales,fonsecasales@nomeEmpresa.com,2013-11-04,Telemarketing
80521,Bárbara Cassiano,Brito,barbarabrito@nomeEmpresa.com,2012-01-13,Vendedor Interno
80522,Ana Novaes,Cruz,novaescruz@nomeEmpresa.com,2006-02-10,Telemarketing
80523,Vitória Siqueira,Azevedo,vitoriaazevedo@nomeEmpresa.com,2019-07-06,Vendedor Interno
80524,Oliver Lopes,Fogaça,lopesfogaca@nomeEmpresa.com,2014-06-07,Telemarketing
80525,Lucca Caldeira,Aragão,caldeiraaragao@nomeEmpresa.com,2023-09-24,Promotor de Vendas
80526,Isaque Camargo,Brito,camargobrito@nomeEmpresa.com,2024-01-19,Vendedor Interno
80527,Apollo Macedo,Montenegro,apollomontenegro@nomeEmpresa.com,2008-09-06,Vendedor Interno
80528,Casa Grande,Peixoto,casapeixoto@nomeEmpresa.com,2015-03-17,Vendedor Externo
80529,da Mata,Siqueira,dasiqueira@nomeEmpresa.com,2006-12-07,Telemarketing
80530,Danilo Novais,Grande,novaisgrande@nomeEmpresa.com,2013-12-23,Telemarketing
80531,Benício Leão,Grande,leaogrande@nomeEmpresa.com,2010-11-16,Promotor de Vendas
80532,Maitê Gonçalves,Rocha,goncalvesrocha@nomeEmpresa.com,2010-05-05,Telemarketing
80533,Gabriel Caldeira,Moreira,gabrielmoreira@nomeEmpresa.com,2008-07-19,Promotor de Vendas
80534,Emanuella Nascimento,Neves,nascimentoneves@nomeEmpresa.com,2008-11-10,Promotor de Vendas
80535,Danilo Silveira,Ribeiro,silveiraribeiro@nomeEmpresa.com,2011-08-17,Vendedor Externo
80536,Luiza Caldeira,Neves,luizaneves@nomeEmpresa.com,2003-12-27,Telemarketing
80537,Henrique Duarte,Neves,duarteneves@nomeEmpresa.com,2018-12-15,Telemarketing
80538,Catarina Moreira,Grande,moreiragrande@nomeEmpresa.com,2018-12-15,Vendedor Interno
80539,Ana Jesus,Costa,jesuscosta@nomeEmpresa.com,2021-01-28,Telemarketing
80540,Fernando Rios,Moreira,riosmoreira@nomeEmpresa.com,2021-01-09,Consultor de Vendas
80541,Vinicius Gonçalves,Ramos,goncalvesramos@nomeEmpresa.com,2016-06-23,Telemarketing
80542,Alana Sales,Farias,alanafarias@nomeEmpresa.com,2009-08-16,Vendedor Interno
80543,Vitória Pinto,Mendes,pintomendes@nomeEmpresa.com,2015-04-09,Vendedor Interno
80544,Lívia Peixoto,Cirino,liviacirino@nomeEmpresa.com,2023-11-02,Telemarketing
80545,Stephany Caldeira,Cirino,caldeiracirino@nomeEmpresa.com,2021-04-15,Vendedor Interno
80546,Apollo Montenegro,Santos,apollosantos@nomeEmpresa.com,2006-12-02,Vendedor Externo
80547,da Rocha,Andrade,daandrade@nomeEmpresa.com,2024-10-11,Promotor de Vendas
80548,da Cruz,Almeida,daalmeida@nomeEmpresa.com,2018-03-22,Telemarketing
80549,Eduarda Ramos,Mota,ramosmota@nomeEmpresa.com,2006-08-20,Vendedor Interno
80550,da Rocha,Nunes,danunes@nomeEmpresa.com,2020-07-03,Vendedor Interno
80551,Rodrigo Silva,Ribeiro,silvaribeiro@nomeEmpresa.com,2012-04-04,Vendedor Interno
